Date,Open,High,Low,Close,Volume,Adjusted,CloseLag1,CloseLag2,CloseLag3,HML,HMLLag1,HMLLag2,HMLLag3,OMC,OMCLag1,OMCLag2,OMCLag3,VolumeLag1,VolumeLag2,VolumeLag3,CloseEMA2,CloseEMA4,CloseEMA8,LogReturn,Target
2014-09-17,465.864,468.174,452.422,457.334,21056800.0,457.3340148925781,,,,15.752,,,,8.53,,,,,,,,,,,0
2014-09-18,456.86,456.86,413.104,424.44,34483200.0,424.44000244140625,457.334,,,43.756,15.752,,,32.42,8.53,,,21056800.0,,,457.334,457.334,457.334,-0.07464335114905024,0
2014-09-19,424.103,427.835,384.532,394.796,37919700.0,394.7959899902344,424.44,457.334,,43.303,43.756,15.752,,29.307,32.42,8.53,,34483200.0,21056800.0,,435.405,438.065,439.466,-0.07240150831598655,0
2014-09-20,394.673,423.296,389.883,408.904,36863600.0,408.90399169921875,394.796,424.44,457.334,33.413,43.303,43.756,15.752,-14.231,29.307,32.42,8.53,37919700.0,34483200.0,21056800.0,412.2,418.461,421.934,0.035111238924079614,1
2014-09-21,408.085,412.426,393.181,398.821,26580100.0,398.8210144042969,408.904,394.796,424.44,19.245,33.413,43.303,43.756,9.264,-14.231,29.307,32.42,36863600.0,37919700.0,34483200.0,410.442,414.729,417.788,-0.024967658573127677,0
2014-09-22,399.1,406.916,397.13,402.152,24127600.0,402.1520080566406,398.821,408.904,394.796,9.786,19.245,33.413,43.303,-3.052,9.264,-14.231,29.307,26580100.0,36863600.0,37919700.0,404.444,409.069,412.581,0.008317415847792081,1
2014-09-23,402.092,441.557,396.197,435.791,45099500.0,435.7909851074219,402.152,398.821,408.904,45.36,9.786,19.245,33.413,-33.699,-3.052,9.264,-14.231,24127600.0,26580100.0,36863600.0,403.28,406.754,410.014,0.08033258980830758,1
2014-09-24,435.751,436.112,421.132,423.205,30627700.0,423.2049865722656,435.791,402.152,398.821,14.98,45.36,9.786,19.245,12.546,-33.699,-3.052,9.264,45099500.0,24127600.0,26580100.0,419.663,416.083,415.851,-0.029306072958098176,0
2014-09-25,423.156,423.52,409.468,411.574,26814400.0,411.5740051269531,423.205,435.791,402.152,14.052,14.98,45.36,9.786,11.582,12.546,-33.699,-3.052,30627700.0,45099500.0,24127600.0,421.441,418.308,417.411,-0.027867817193167922,0
2014-09-26,411.429,414.938,400.009,404.425,21460800.0,404.42498779296875,411.574,423.205,435.791,14.929,14.052,14.98,45.36,7.004,11.582,12.546,-33.699,26814400.0,30627700.0,45099500.0,416.498,416.245,416.235,-0.0175225712651671,0
2014-09-27,403.556,406.623,397.372,399.52,15029300.0,399.5199890136719,404.425,411.574,423.205,9.251,14.929,14.052,14.98,4.036,7.004,11.582,12.546,21460800.0,26814400.0,30627700.0,410.456,412.671,413.952,-0.012202475999442203,0
2014-09-28,399.471,401.017,374.332,377.181,23613300.0,377.1809997558594,399.52,404.425,411.574,26.685,9.251,14.929,14.052,22.29,4.036,7.004,11.582,15029300.0,21460800.0,26814400.0,404.985,408.732,411.255,-0.05753862134517328,0
2014-09-29,376.928,385.211,372.24,375.467,32497700.0,375.4670104980469,377.181,399.52,404.425,12.971,26.685,9.251,14.929,1.461,22.29,4.036,7.004,23613300.0,15029300.0,21460800.0,391.08,399.344,405.059,-0.004554565208133669,0
2014-09-30,376.088,390.977,373.443,386.944,34707300.0,386.9440002441406,375.467,377.181,399.52,17.534,12.971,26.685,9.251,-10.856,1.461,22.29,4.036,32497700.0,23613300.0,15029300.0,383.272,392.273,399.798,0.03010936786854685,1
2014-10-01,387.427,391.379,380.78,383.615,26229400.0,383.614990234375,386.944,375.467,377.181,10.599,17.534,12.971,26.685,3.812,-10.856,1.461,22.29,34707300.0,32497700.0,23613300.0,385.108,390.7,397.555,-0.008640560327416795,0
2014-10-02,383.988,385.497,372.946,375.072,21777700.0,375.0719909667969,383.615,386.944,375.467,12.551,10.599,17.534,12.971,8.916,3.812,-10.856,1.461,26229400.0,34707300.0,32497700.0,384.362,388.613,395.159,-0.022521436563615105,0
